"EFF_DATE","SITE_NO","SITE_TYPE_CODE","STATE_CODE","ARPT_ID","CITY","COUNTRY_CODE","RWY_ID","RWY_LEN","RWY_WIDTH","SURFACE_TYPE_CODE","COND","TREATMENT_CODE","PCN","PAVEMENT_TYPE_CODE","SUBGRADE_STRENGTH_CODE","TIRE_PRES_CODE","DTRM_METHOD_CODE","RWY_LGT_CODE","RWY_LEN_SOURCE","LENGTH_SOURCE_DATE","GROSS_WT_SW","GROSS_WT_DW","GROSS_WT_DTW","GROSS_WT_DDTW","File","Action","Mods"
"2026/05/14","07673.","A","LA","NBG","NEW ORLEANS","US","04/22","10000","200","PEM","GOOD","NONE","41","R","D","W","T","HIGH","MILITARY","2019/03/31","","","","","2","Modified","SUBGRADE_STRENGTH_CODE"
"2026/04/16","07673.","A","LA","NBG","NEW ORLEANS","US","14/32","6000","200","PEM","GOOD","NONE","54","R","B","W","T","HIGH","MILITARY","2019/03/31","","","","","1","Modified","SUBGRADE_STRENGTH_CODE"
"2026/05/14","07673.","A","LA","NBG","NEW ORLEANS","US","14/32","6000","200","PEM","GOOD","NONE","54","R","D","W","T","HIGH","MILITARY","2019/03/31","","","","","2","Modified","SUBGRADE_STRENGTH_CODE"
"2026/04/16","07739.","A","LA","DTN","SHREVEPORT","US","05/23","4198","75","ASPH","FAIR","NONE","","","","","","MED","3RD PARTY SURVEY","2021/04/10","12.5","","","","1","Modified","LENGTH_SOURCE_DATE"
"2026/05/14","07739.","A","LA","DTN","SHREVEPORT","US","05/23","4198","75","ASPH","FAIR","NONE","","","","","","MED","3RD PARTY SURVEY","2025/04/18","12.5","","","","2","Modified","LENGTH_SOURCE_DATE"
"2026/04/16","07739.","A","LA","DTN","SHREVEPORT","US","14/32","5016","150","ASPH","GOOD","NONE","","","","","","MED","3RD PARTY SURVEY","2021/04/10","35","55","","","1","Modified","RWY_LEN RWY_WIDTH LENGTH_SOURCE_DATE"
"2026/05/14","07739.","A","LA","DTN","SHREVEPORT","US","14/32","5017","100","ASPH","GOOD","NONE","","","","","","MED","3RD PARTY SURVEY","2025/04/18","35","55","","","2","Modified","RWY_LEN RWY_WIDTH LENGTH_SOURCE_DATE"
"2026/04/16","08011.","C","ME","ME30","GREENVILLE","US","N/S","5000","1000","WATER","","NONE","","","","","","","","","","","","","2","Deleted",""
"2026/04/16","08011.","C","ME","ME30","GREENVILLE","US","NW/SE","6000","1200","WATER","","NONE","","","","","","","","","","","","","2","Deleted",""
"2026/04/16","08095.1","C","ME","ME12","LIVERMORE","US","04W/22W","3000","200","WATER","","NONE","","","","","","","","","","","","","2","Deleted",""
"2026/04/16","08095.1","C","ME","ME12","LIVERMORE","US","17W/35W","3500","700","WATER","","NONE","","","","","","","","","","","","","2","Deleted",""
"2026/04/16","08536.02","A","MD","58M","ELKTON","US","13/31","2989","70","ASPH","FAIR","AFSC","","","","","","MED","3RD PARTY SURVEY","2011/06/29","","","","","1","Modified","COND"
"2026/05/14","08536.02","A","MD","58M","ELKTON","US","13/31","2989","70","ASPH","POOR","AFSC","","","","","","MED","3RD PARTY SURVEY","2011/06/29","","","","","2","Modified","COND"
"2026/04/16","08643.2","A","MD","NUI","ST INIGOES","US","H1","1000","1000","TURF","","NONE","","","","","","","MILITARY","2024/01/11","","","","","1","Modified","RWY_LEN RWY_WIDTH LENGTH_SOURCE_DATE"
"2026/05/14","08643.2","A","MD","NUI","ST INIGOES","US","H1","900","700","TURF","","NONE","","","","","","","MILITARY","2026/02/02","","","","","2","Modified","RWY_LEN RWY_WIDTH LENGTH_SOURCE_DATE"
"2026/04/16","09704.","A","MI","12MI","DAVISON","US","18/36","1852","100","TURF","","NONE","","","","","","","","","","","","","2","Deleted",""
"2026/04/16","10127.","A","MI","MKG","MUSKEGON","US","06/24","6500","150","ASPH","FAIR","PFC","","","","","","HIGH","3RD PARTY SURVEY","2024/05/16","120","250","497","","1","Modified","COND TREATMENT_CODE"
"2026/05/14","10127.","A","MI","MKG","MUSKEGON","US","06/24","6500","150","ASPH","GOOD","GRVD","","","","","","HIGH","3RD PARTY SURVEY","2024/05/16","120","250","497","","2","Modified","COND TREATMENT_CODE"
"2026/04/16","10361.19","H","MI","41MI","STUGIS","US","H1","50","50","ASPH","FAIR","NONE","","","","","","","OWNER","2017/11/06","","","","","1","Modified","CITY"
"2026/05/14","10361.19","H","MI","41MI","STURGIS","US","H1","50","50","ASPH","FAIR","NONE","","","","","","","OWNER","2017/11/06","","","","","2","Modified","CITY"
