"EFF_DATE","COUNTRY_CODE","LOC_ID","REGION_CODE","STATE","CITY","LID_GROUP","FAC_TYPE","FAC_NAME","RESP_ARTCC_ID","ARTCC_COMPUTER_ID","FSS_ID","File","Action","Mods"
"2026/04/16","US","1TA5","ASW","TX","DENVER CITY","LANDING FACILITY","A","TWO LEGGS","ZFW","ZCF","FTW","2","Deleted",""
"2026/04/16","US","1TS3","ASW","TX","SAN LEON","LANDING FACILITY","U","B & S","ZHU","ZCH","CXO","2","Deleted",""
"2026/04/16","US","1TX4","ASW","TX","NEW GULF","LANDING FACILITY","A","NEW GULF","ZHU","ZCH","CXO","2","Deleted",""
"2026/04/16","US","1XS5","ASW","TX","AUSTIN","LANDING FACILITY","H","AUSTIN DIAGNOSTIC MEDICAL CENTER","ZHU","ZCH","SJT","1","Modified","FAC_NAME"
"2026/05/14","US","1XS5","ASW","TX","AUSTIN","LANDING FACILITY","H","ST DAVID'S NORTH AUSTIN MEDICAL CENTER","ZHU","ZCH","SJT","2","Modified","FAC_NAME"
"2026/04/16","US","20TS","ASW","TX","BANDERA","LANDING FACILITY","A","BAINS PRIVATE","ZHU","ZCH","SJT","2","Deleted",""
"2026/04/16","US","21MN","AGL","MN","LEONARD","LANDING FACILITY","C","CLEARWATER","ZMP","ZCP","PNM","2","Deleted",""
"2026/04/16","US","23TN","ASO","TN","COPPERHILL","LANDING FACILITY","H","COPPER BASIN MEDICAL CENTER","ZTL","ZCT","BNA","2","Deleted",""
"2026/04/16","US","25NV","AWP","NV","CARSON CITY","LANDING FACILITY","A","PARKER CARSON","ZOA","ZCO","RNO","2","Deleted",""
"2026/04/16","US","26TX","ASW","TX","TRUSCOTT","LANDING FACILITY","A","LOWRANCE RANCH","ZFW","ZCF","FTW","2","Deleted",""
"2026/04/16","US","28XS","ASW","TX","KAUFMAN","LANDING FACILITY","A","FLYING G","ZFW","ZCF","FTW","2","Deleted",""
"2026/04/16","US","2II4","AGL","IN","PLAINFIELD","LANDING FACILITY","H","PSI","ZID","ZCI","HUF","1","Modified","FAC_NAME"
"2026/05/14","US","2II4","AGL","IN","PLAINFIELD","LANDING FACILITY","H","DUKE","ZID","ZCI","HUF","2","Modified","FAC_NAME"
"2026/04/16","US","2TA1","ASW","TX","LUFKIN","LANDING FACILITY","A","GRAVCO","ZHU","ZCH","CXO","2","Deleted",""
"2026/04/16","US","2XS6","ASW","TX","UTOPIA","LANDING FACILITY","A","FOSTER RANCH","ZHU","ZCH","SJT","2","Deleted",""
"2026/04/16","US","36NY","AEA","NY","MASSENA","LANDING FACILITY","H","MASSENA SUBSTATION","ZBW","ZCB","BTV","2","Deleted",""
"2026/04/16","US","36TX","ASW","TX","WHITESBORO","LANDING FACILITY","A","BEVONI-FLYING B","ZFW","ZCF","FTW","2","Deleted",""
"2026/04/16","US","37IA","ACE","IA","DE WITT","LANDING FACILITY","A"," NEMO FLD","ZAU","ZCG","FOD","1","Modified","FAC_NAME"
"2026/05/14","US","37IA","ACE","IA","DE WITT","LANDING FACILITY","A","NEMO FLD","ZAU","ZCG","FOD","2","Modified","FAC_NAME"
"2026/04/16","US","3NR4","ASO","NC","ELIZABETH CITY","LANDING FACILITY","A","CRABBE","ZDC","ZCW","RDU","1","Modified","FAC_NAME"
"2026/05/14","US","3NR4","ASO","NC","ELIZABETH CITY","LANDING FACILITY","A","PARRISH","ZDC","ZCW","RDU","2","Modified","FAC_NAME"
"2026/04/16","US","41MI","AGL","MI","STUGIS","LANDING FACILITY","H","STURGIS HOSPITAL","ZAU","ZCG","LAN","2","Deleted",""
"2026/04/16","US","4MI6","AGL","MI","THREE OAKS","LANDING FACILITY","A","BENEDICK","ZAU","ZCG","LAN","2","Deleted",""
"2026/04/16","US","4TA5","ASW","TX","HOLLIDAY","LANDING FACILITY","A","LUCKY G","ZFW","ZCF","FTW","2","Deleted",""
"2026/04/16","US","55FD","ASO","FL","BAKER","LANDING FACILITY","A","DOTSON","ZJX","ZCJ","GNV","2","Deleted",""
"2026/04/16","US","5PS3","AEA","PA","PITTSBURGH","LANDING FACILITY","H","ST FRANCIS MEDICAL CENTER","ZOB","ZCC","AOO","2","Deleted",""
"2026/04/16","US","61MU","ACE","MO","FAUCETT","LANDING FACILITY","A","FARRIS STRIP","ZKC","ZCK","COU","2","Deleted",""
