"EFF_DATE","HP_NAME","HP_NO","STATE_CODE","COUNTRY_CODE","FIX_ID","ICAO_REGION_CODE","NAV_ID","NAV_TYPE","HOLD_DIRECTION","HOLD_DEG_OR_CRS","AZIMUTH","COURSE_INBOUND_DEG","TURN_DIRECTION","LEG_LENGTH_DIST","File","Action","Mods"
"2026/04/16","CANIN INT*FL*K7","4","FL","US","CANIN","K7","EYW","VORTAC","E","90","RAD","270","L","5","1","Modified","NAV_ID NAV_TYPE HOLD_DEG_OR_CRS COURSE_INBOUND_DEG LEG_LENGTH_DIST"
"2026/05/14","CANIN INT*FL*K7","4","FL","US","CANIN","K7","NQX","TACAN","E","94","RAD","274","L","4","2","Modified","NAV_ID NAV_TYPE HOLD_DEG_OR_CRS COURSE_INBOUND_DEG LEG_LENGTH_DIST"
"2026/04/16","CAPE CHARLES VORTAC*VA","1","VA","US","","","CCV","VORTAC","SW","209","RAD","29","L","","2","Deleted",""
"2026/04/16","CAVERNS NDB*VA","1","VA","US","","","LUA","NDB","NE","43","BRG","223","R","","2","Deleted",""
"2026/04/16","CEDAR RAPIDS VOR/DME*IA","2","IA","US","","","CID","VOR/DME","W","279","RAD","99","R","","2","Deleted",""
"2026/04/16","CESGE WP*CANADA*CY","1","","CA","CESGE","CY","","","NW","313","RNAV","133","R","4","1","Modified","LEG_LENGTH_DIST"
"2026/05/14","CESGE WP*CANADA*CY","1","","CA","CESGE","CY","","","NW","313","RNAV","133","R","5","2","Modified","LEG_LENGTH_DIST"
"2026/04/16","CESRU WP*NM*K2","1","NM","US","CESRU","K2","","","NE","33","RNAV","213","R","6","1","Modified","LEG_LENGTH_DIST"
"2026/05/14","CESRU WP*NM*K2","1","NM","US","CESRU","K2","","","NE","33","RNAV","213","R","5","2","Modified","LEG_LENGTH_DIST"
"2026/04/16","CHICAGO HEIGHTS VORTAC*IL","4","IL","US","","","CGT","VORTAC","W","264","RAD","84","R","","1","Modified","HOLD_DIRECTION HOLD_DEG_OR_CRS COURSE_INBOUND_DEG"
"2026/05/14","CHICAGO HEIGHTS VORTAC*IL","4","IL","US","","","CGT","VORTAC","SW","229","RAD","49","R","","2","Modified","HOLD_DIRECTION HOLD_DEG_OR_CRS COURSE_INBOUND_DEG"
"2026/04/16","CHICAGO HEIGHTS VORTAC*IL","5","IL","US","","","CGT","VORTAC","SW","229","RAD","49","R","","1","Modified","HOLD_DIRECTION HOLD_DEG_OR_CRS COURSE_INBOUND_DEG"
"2026/05/14","CHICAGO HEIGHTS VORTAC*IL","5","IL","US","","","CGT","VORTAC","NW","333","RAD","153","R","","2","Modified","HOLD_DIRECTION HOLD_DEG_OR_CRS COURSE_INBOUND_DEG"
"2026/04/16","CHICAGO HEIGHTS VORTAC*IL","6","IL","US","","","CGT","VORTAC","NW","333","RAD","153","R","","1","Modified","HOLD_DIRECTION HOLD_DEG_OR_CRS AZIMUTH COURSE_INBOUND_DEG LEG_LENGTH_DIST"
"2026/05/14","CHICAGO HEIGHTS VORTAC*IL","6","IL","US","","","CGT","VORTAC","SE","156","RNAV","336","R","4","2","Modified","HOLD_DIRECTION HOLD_DEG_OR_CRS AZIMUTH COURSE_INBOUND_DEG LEG_LENGTH_DIST"
"2026/04/16","CHICAGO HEIGHTS VORTAC*IL","7","IL","US","","","CGT","VORTAC","SE","156","RNAV","336","R","4","2","Deleted",""
"2026/04/16","CITUK WP*IN*K5","1","IN","US","CITUK","K5","","","SE","139","RNAV","319","R","5","1","Modified","LEG_LENGTH_DIST"
"2026/05/14","CITUK WP*IN*K5","1","IN","US","CITUK","K5","","","SE","139","RNAV","319","R","4","2","Modified","LEG_LENGTH_DIST"
"2026/04/16","CLANG INT*IN*K5","1","IN","US","CLANG","K5","MIE","VOR/DME","NE","244","RAD","244","L","","2","Deleted",""
"2026/04/16","CLOAK INT*IA*K3","1","IA","US","CLOAK","K3","OVR","VORTAC","W","105","RAD","105","R","","2","Deleted",""
"2026/04/16","COILD WP*VT*K6","1","VT","US","COILD","K6","","","N","13","RNAV","193","R","4","2","Deleted",""
"2026/04/16","COMUP WP*VT*K6","1","VT","US","COMUP","K6","","","NE","51","RNAV","231","R","4","2","Deleted",""
"2026/04/16","COTULLA VORTAC*TX","2","TX","US","","","COT","VORTAC","E","79","RAD","259","R","","1","Modified","HOLD_DIRECTION HOLD_DEG_OR_CRS AZIMUTH COURSE_INBOUND_DEG LEG_LENGTH_DIST"
"2026/05/14","COTULLA VORTAC*TX","2","TX","US","","","COT","VORTAC","W","280","RNAV","100","R","10","2","Modified","HOLD_DIRECTION HOLD_DEG_OR_CRS AZIMUTH COURSE_INBOUND_DEG LEG_LENGTH_DIST"
"2026/04/16","COTULLA VORTAC*TX","3","TX","US","","","COT","VORTAC","W","280","RNAV","100","R","10","2","Deleted",""
"2026/04/16","CRADD WP*VA*K6","1","VA","US","CRADD","K6","CCV","VORTAC","S","191","RNAV","11","L","4","1","Modified","NAV_ID NAV_TYPE"
"2026/05/14","CRADD WP*VA*K6","1","VA","US","CRADD","K6","","","S","191","RNAV","11","L","4","2","Modified","NAV_ID NAV_TYPE"
"2026/04/16","CULAT WP*NC*K7","1","NC","US","CULAT","K7","","","NW","323","RNAV","143","R","4","1","Modified","LEG_LENGTH_DIST"
