"EFF_DATE","HP_NAME","HP_NO","STATE_CODE","COUNTRY_CODE","CHARTING_TYPE_DESC","File","Action","Mods"
"2026/05/14","DAYTON VOR/DME*OH","1","OH","US","NOT REQUIRED","2","Added",""
"2026/05/14","DOPTE WP*SC*K7","1","SC","US","NOT REQUIRED","2","Added",""
"2026/05/14","DRAWL WP*KS*K3","1","KS","US","NOT REQUIRED","2","Added",""
"2026/05/14","DUDLY WP*IL*K5","1","IL","US","IAP","2","Added",""
"2026/05/14","DUFFS WP*IL*K5","1","IL","US","IAP","2","Added",""
"2026/05/14","EDEWO WP*OK*K4","1","OK","US","IAP","2","Added",""
"2026/05/14","EGANE WP*KS*K3","1","KS","US","NOT REQUIRED","2","Added",""
"2026/05/14","EHLUN INT*KY*K5","1","KY","US","MILITARY IAP","2","Added",""
"2026/05/14","ELYSE OM*IN","1","IN","US","IAP","2","Added",""
"2026/05/14","EWABE NDB*HI","1","HI","US","IAP","2","Added",""
"2026/05/14","FOGEM INT*UT*K2","2","UT","US","IAP","2","Added",""
"2026/05/14","FOMUS WP*TN*K7","1","TN","US","SPECIAL IAP","2","Added",""
"2026/05/14","FOPTY WP*AK*PA","1","AK","US","SPECIAL IAP","2","Added",""
"2026/05/14","FRIANT VORTAC*CA","1","CA","US","SID","2","Added",""
"2026/05/14","GALIO INT*LA*K4","1","LA","US","NOT REQUIRED","2","Added",""
"2026/05/14","GALLUP VORTAC*NM","2","NM","US","ENROUTE HIGH","2","Added",""
"2026/05/14","GALLUP VORTAC*NM","2","NM","US","STAR","2","Added",""
"2026/05/14","GARDEN CITY VORTAC*KS","4","KS","US","NOT REQUIRED","2","Added",""
"2026/05/14","GARDEN CITY VORTAC*KS","5","KS","US","NOT REQUIRED","2","Added",""
"2026/05/14","GIPPER VORTAC*MI","2","MI","US","ENROUTE HIGH","2","Added",""
"2026/05/14","GOODALL NDB*KY","1","KY","US","NOT REQUIRED","2","Added",""
"2026/05/14","HAKSA WP*AK*PA","1","AK","US","SPECIAL IAP","2","Added",""
"2026/05/14","HARAN WP*KS*K3","1","KS","US","NOT REQUIRED","2","Added",""
"2026/05/14","HIRUV WP*CA*K2","1","CA","US","IAP","2","Added",""
"2026/05/14","HOBART VORTAC*OK","3","OK","US","NOT REQUIRED","2","Added",""
"2026/05/14","HOPIN WP*UT*K2","1","UT","US","STAR","2","Added",""
"2026/05/14","HOWES INT*VT*K6","1","VT","US","ENROUTE HIGH","2","Added",""
"2026/05/14","ITMOR INT*CA*K2","2","CA","US","IAP","2","Added",""
"2026/05/14","ITMOR WP*CA*K2","3","CA","US","IAP","2","Added",""
"2026/05/14","KIRKSVILLE VORTAC*MO","1","MO","US","ENROUTE HIGH","2","Added",""
"2026/05/14","KIRKSVILLE VORTAC*MO","2","MO","US","STAR","2","Added",""
"2026/05/14","LEEVT WP*UT*K2","1","UT","US","STAR","2","Added",""
"2026/05/14","MIZOU INT*MN*K3","1","MN","US","MILITARY IAP","2","Added",""
"2026/05/14","MORGANTOWN VOR/DME*WV","2","WV","US","NOT REQUIRED","2","Added",""
"2026/05/14","MORRIS VOR/DME*MN","1","MN","US","NOT REQUIRED","2","Added",""
"2026/05/14","MORRIS VOR/DME*MN","2","MN","US","NOT REQUIRED","2","Added",""
"2026/05/14","MOZEE WP*KS*K3","1","KS","US","NOT REQUIRED","2","Added",""
"2026/05/14","NEW HOPE VOR/DME*KY","1","KY","US","NOT REQUIRED","2","Added",""
"2026/05/14","NEW HOPE VOR/DME*KY","2","KY","US","IAP","2","Added",""
"2026/05/14","NORWICH VOR/DME*CT","1","CT","US","ENROUTE LOW","2","Added",""
"2026/05/14","NORWICH VOR/DME*CT","1","CT","US","STAR","2","Added",""
"2026/05/14","OBBAN WP*SD*K3","1","SD","US","IAP","2","Added",""
"2026/05/14","OMAHA VOR/DME*IA","1","IA","US","IAP","2","Added",""
"2026/05/14","OMAHA VOR/DME*IA","2","IA","US","IAP","2","Added",""
"2026/05/14","OMAHA VOR/DME*IA","3","IA","US","IAP","2","Added",""
"2026/05/14","PERSN INT*TX*K4","3","TX","US","IAP","2","Added",""
"2026/05/14","PERSN WP*TX*K4","1","TX","US","IAP","2","Added",""
"2026/05/14","PIERS INT*TX*K4","2","TX","US","MILITARY IAP","2","Added",""
"2026/05/14","PIERS WP*TX*K4","1","TX","US","MILITARY IAP","2","Added",""
"2026/05/14","PIONEER VORTAC*OK","2","OK","US","NOT REQUIRED","2","Added",""
"2026/05/14","PIONEER VORTAC*OK","3","OK","US","NOT REQUIRED","2","Added",""
"2026/05/14","POSEC WP*GA*K7","1","GA","US","IAP","2","Added",""
"2026/05/14","RACOK WP*MI*K5","1","MI","US","SPECIAL IAP","2","Added",""
"2026/05/14","RDGRS WP*OK*K4","1","OK","US","IAP","2","Added",""
