"Orig","Route String","Dest","Hours1","Type","Area","Altitude","Aircraft","Direction","Seq","DCNTR","ACNTR","File","Action","Mods"
"CCB","CCB PDZ V186 DEANO V27 KWANG SBA","SBA","","TEC","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO SBA","PQ60","","","3","ZLA","ZLA","1","Modified","Altitude"
"CCB","CCB PDZ V186 DEANO V27 KWANG SBA","SBA","","TEC","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO SBA","PQ80","","","3","ZLA","ZLA","2","Modified","Altitude"
"CCB","CCB PDZ V388 SLI SLI","SLI","","TEC","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO FUL LGB SLI TOA","JMPQ40","","","1","ZLA","ZLA","1","Modified","Area"
"CCB","CCB PDZ V388 SLI SLI","SLI","","TEC","CCB CNO EMT HMT L65 AJO RAL RIR RIV F70 ONT POC TO FUL LGB SLI TOA","JMPQ40","","","1","ZLA","ZLA","2","Modified","Area"
"CCB","CCB PDZ V388 RNDAL V363 POXKU V8 SLI SNA","SNA","","TEC","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO SNA","JMPQ40","","","3","ZLA","ZLA","1","Modified","Area"
"CCB","CCB PDZ V388 RNDAL V363 POXKU V8 SLI SNA","SNA","","TEC","CCB CNO EMT HMT L65 AJO RAL RIR RIV F70 ONT POC TO SNA","JMPQ40","","","3","ZLA","ZLA","2","Modified","Area"
"CCB","CCB PDZ V186 PGY TIJ TIJ","TIJ","","TEC","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO TIJ","JM110 PQ090","","","1","ZLA","","1","Modified","Altitude"
"CCB","CCB PDZ V186 PGY TIJ TIJ","TIJ","","TEC","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO TIJ","JM110PQ90","","","1","ZLA","","2","Modified","Altitude"
"CCB","CCB PDZ V388 SLI TOA","TOA","","TEC","CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO FUL LGB SLI TOA","JMPQ40","","","1","ZLA","ZLA","1","Modified","Area"
"CCB","CCB PDZ V388 SLI TOA","TOA","","TEC","CCB CNO EMT HMT L65 AJO RAL RIR RIV F70 ONT POC TO FUL LGB SLI TOA","JMPQ40","","","1","ZLA","ZLA","2","Modified","Area"
"CDW","CDW BREZY V39 CMK GREKI V39 SOARS V487 CAM GRNMT BTV BTV","BTV","","L","","110-170INCL","","","1","ZNY","ZBW","1","Modified","Route String"
"CDW","CDW BREZY V39 CMK GREKI V39 SOARS V487 CAM GRNMT BTV","BTV","","L","","110-170INCL","","","1","ZNY","ZBW","2","Modified","Route String"
"CHO","CHO AIROW CHSLY6 CLT","CLT","","H","","","","","1","ZDC","ZTL","1","Modified","Route String"
"CHO","CHO AIROW CHSLY7 CLT","CLT","","H","","","","","1","ZDC","ZTL","2","Modified","Route String"
"CHS","CHS SWPFX3 FILLI SARKY Q113 AARNN THHMP RAVNN8 BWI","BWI","1100-0400","H","TO BWI,DMW,MTN","","TURBOJETS","","2","ZJX","ZDC","1","Modified","Route String Hours1 Area Aircraft"
"CHS","CHS SWPFX3 FILLI SARKY Q113 AARNN THHMP RAVNN9 BWI","BWI","","H","TO BWI, MTN","","JETS ONLY: RNAV 1 - DME/DME/IRU OR GPS REQUIRED","","2","ZJX","ZDC","2","Modified","Route String Hours1 Area Aircraft"
"CLE","CLE CAVVS5 APE HVQ LNDIZ PARQR4 CLT","CLT","","H","FROM CLEVELAND METRO(CLE,CGF,BKL,LNN,LPR)","","RNAV ONLY","","1","ZOB","ZTL","1","Modified","Route String"
"CLE","CLE CAVVS5 APE HVQ LNDIZ PARQR5 CLT","CLT","","H","FROM CLEVELAND METRO(CLE,CGF,BKL,LNN,LPR)","","RNAV ONLY","","1","ZOB","ZTL","2","Modified","Route String"
"CLT","CLT KRITR6 FILDS ILLSA COURG BAMMY T299 DUMMR ABE","ABE","","H","","","TURBOJET","","1","ZTL","ZNY","1","Modified","Route String Area Aircraft"
"CLT","CLT KRITR7 FILDS ILLSA COURG BAMMY T299 DUMMR ABE","ABE","","H","FROM AKH,CLT,EQY,IPJ,JQF,LKR,RUQ,UZA,VUJ ","","JETS ONLY RNAV 1 - DME/DME/IRU OR GPS","","1","ZTL","ZNY","2","Modified","Route String Area Aircraft"
"CLT","CLT BARMY5 RDU NOWAE Q87 GEARS BBOBO Q22 RBV Q430 KYSKY DEEPO2 ACK","ACK","","H","","","","","1","ZTL","ZBW","1","Modified","Route String Area Aircraft"
