procedureKey,procedureType,procedurePathKey,routeName,routeNameFirstToken,routeNameLastToken,operationalStartRawPoint,operationalEndRawPoint,directionNameStatus
PROCEDURE:STAR:SPIDR.SPIDR5,STAR,PROC_PATH:PROCEDURE:STAR:SPIDR.SPIDR5:BODY:SPIDR-RUPRT:1:,SPIDR-RUPRT,SPIDR,RUPRT,SPIDR,RUPRT,matches_operational_endpoints
PROCEDURE:STAR:SPISY.SPISY2,STAR,PROC_PATH:PROCEDURE:STAR:SPISY.SPISY2:BODY:SPISY-OPSIE:1:,SPISY-OPSIE,SPISY,OPSIE,SPISY,OPSIE,matches_operational_endpoints
PROCEDURE:STAR:SPISY.SPISY2,STAR,PROC_PATH:PROCEDURE:STAR:SPISY.SPISY2:BODY:SPISY-REVOE:1:,SPISY-REVOE,SPISY,REVOE,SPISY,REVOE,matches_operational_endpoints
PROCEDURE:STAR:SPUUD.SPUUD4,STAR,PROC_PATH:PROCEDURE:STAR:SPUUD.SPUUD4:BODY:SPUUD-CELOR:1:,SPUUD-CELOR,SPUUD,CELOR,SPUUD,CELOR,matches_operational_endpoints
PROCEDURE:STAR:SPUUD.SPUUD4,STAR,PROC_PATH:PROCEDURE:STAR:SPUUD.SPUUD4:BODY:SPUUD-EKEME:1:,SPUUD-EKEME,SPUUD,EKEME,SPUUD,EKEME,matches_operational_endpoints
PROCEDURE:STAR:SRQ.ZEILR6,STAR,PROC_PATH:PROCEDURE:STAR:SRQ.ZEILR6:BODY:SRQ-ZEILR:1:,SRQ-ZEILR,SRQ,ZEILR,SRQ,ZEILR,matches_operational_endpoints
PROCEDURE:STAR:SSKII.SSKII4,STAR,PROC_PATH:PROCEDURE:STAR:SSKII.SSKII4:BODY:SSKII-BRNNO:1:,SSKII-BRNNO,SSKII,BRNNO,SSKII,BRNNO,matches_operational_endpoints
PROCEDURE:STAR:SSKII.SSKII4,STAR,PROC_PATH:PROCEDURE:STAR:SSKII.SSKII4:BODY:SSKII-CLFFF:1:,SSKII-CLFFF,SSKII,CLFFF,SSKII,CLFFF,matches_operational_endpoints
PROCEDURE:STAR:SSKII.SSKII4,STAR,PROC_PATH:PROCEDURE:STAR:SSKII.SSKII4:BODY:SSKII-JIBAT:1:,SSKII-JIBAT,SSKII,JIBAT,SSKII,JIBAT,matches_operational_endpoints
PROCEDURE:STAR:SSKII.SSKII4,STAR,PROC_PATH:PROCEDURE:STAR:SSKII.SSKII4:BODY:SSKII-QWIKE:1:,SSKII-QWIKE,SSKII,QWIKE,SSKII,QWIKE,matches_operational_endpoints
PROCEDURE:STAR:SSKII.SSKII4,STAR,PROC_PATH:PROCEDURE:STAR:SSKII.SSKII4:BODY:SSKII-TELLR:1:,SSKII-TELLR,SSKII,TELLR,SSKII,TELLR,matches_operational_endpoints
