"EFF_DATE","FACILITY_ID","FACILITY_TYPE","STATE_CODE","COUNTRY_CODE","RADAR_TYPE","RADAR_NO","RADAR_HRS","REMARK"
"2026/05/14","NQI","AIRPORT","TX","US","ASR",1,"SEE ATCT HRS.",""
"2026/05/14","NQX","AIRPORT","FL","US","PAR",2,"1200-0300Z++, OT CTC MIA ARTCC.  SEE TERMINAL FLIP FOR RADAR MINIMA.",""
"2026/05/14","NQX","AIRPORT","FL","US","ASR",3,"1200-0300Z++",""
"2026/05/14","NRB","AIRPORT","FL","US","PAR",3,"24",""
"2026/05/14","NRB","AIRPORT","FL","US","ASR",4,"24",""
"2026/05/14","NRS","AIRPORT","CA","US","PAR",1,"1600-0630Z MON-THU (1500-0600Z DT) AND 1600-0200Z++ FRI. CLSD FR 0200Z++ DAY PRIOR TIL 1600Z++ DAY FLW GOVT HOL.  ILS/RADAR - RADAR - SEE TERMINAL FLIP FOR RADAR MINIMA.",""
"2026/05/14","NSI","AIRPORT","CA","US","ASR",1,"24",""
"2026/05/14","NSI","AIRPORT","CA","US","PAR",2,"24",""
"2026/05/14","NTD","AIRPORT","CA","US","ASR",2,"1500-0700Z++",""
"2026/05/14","NTU","AIRPORT","VA","US","ASR",1,"24",""
"2026/05/14","NTU","AIRPORT","VA","US","PAR",2,"24",""
"2026/05/14","NUC","AIRPORT","CA","US","ASR",1,"0800-1800 MON-FRI","(RADAR_TYPE) ASR NO-NOTAM MP 1800-2200Z++ TUE."
"2026/05/14","NUQ","AIRPORT","CA","US","ASR",1,"24",""
"2026/05/14","NUW","AIRPORT","WA","US","ASR",1,"24",""
"2026/05/14","NUW","AIRPORT","WA","US","PAR",2,"24",""
"2026/05/14","NYG","AIRPORT","VA","US","ASR",1,"1300-0200Z++ MON-THU; 1300-2200Z++ FRI; OPR SAT, SUN,AND HOL BY NOTAM ONLY.",""
"2026/05/14","NYG","AIRPORT","VA","US","PAR",2,"1600-2200Z++ MON; 1300-0200Z++ TUE-THU; 1300-2200Z++ FRI; OPEN SAT, SUN AND HOL BY NOTAM ONLY.",""
"2026/05/14","NYL","AIRPORT","AZ","US","ASR",2,"24",""
"2026/05/14","NYL","AIRPORT","AZ","US","PAR",3,"24",""
"2026/05/14","NZY","AIRPORT","CA","US","PAR",1,"1430Z++ MON- 0600Z++ SAT; 1600Z++ SAT- 0600Z++ SUN; 1600Z++ SUN- 0600Z++ MON. CLSD 0200Z++ DAY PRIOR TO 1430Z++ DAY FOLLOWING ALL FEDERAL HOLIDAYS. SEE FLIP AP/1 SUPPLEMENTARY ARPT INFO.",""
"2026/05/14","NZY","AIRPORT","CA","US","ASR",2,"1430Z++ MON- 0600Z++ SAT; 1600Z++ SAT- 0600Z++ SUN; 1600Z++ SUN- 0600Z++ MON. CLSD 0200Z++ DAY PRIOR TO 1430Z++ DAY FOLLOWING ALL FEDERAL HOLIDAYS. SEE FLIP AP/1 SUPPLEMENTARY ARPT INFO.",""
"2026/05/14","OAK","AIRPORT","CA","US","ASR",1,"24",""
"2026/05/14","OAR","AIRPORT","CA","US","ASR",1,"24","(RADAR_TYPE) ASR-8 ANTENNA LOCATED MARINA MUNI (OAR), REMOTED TO MONTEREY PENINSULA (MRY).  ASR-8 SERVES MRY AND OAR."
"2026/05/14","OGG","AIRPORT","HI","US","ASR",1,"24",""
"2026/05/14","OKC","AIRPORT","OK","US","ASR",1,"24",""
"2026/05/14","OMA","AIRPORT","NE","US","ASR",1,"24",""
