fromKey,toKey,magCourse,oppositeMagCourse,distanceNm,minEnrouteAltFt,minEnrouteAltOppositeFt,gpsMinEnrouteAltFt,minObstacleClearanceAltFt,minCrossingAltFt,minReceptionAltFt,maxAuthorizedAltFt,requiredNavPerformance,gapFlag,signalGapFlag,dogleg,artcc,stateCode,countryCode,icaoRegionCode,sourceCycle,sourceTable,sourceRowId
AWY_OCC:A579:C:30,AWY_OCC:A579:C:40,203.17,22.11,536.59,,,,,,,,,N,N,N,ZOA,OP,US,P,2026-05-14,AWY_SEG_ALT,143
AWY_OCC:A579:C:40,AWY_OCC:A579:C:50,202.27,21.42,536.47,,,,,,,,,N,N,N,ZOA,OP,US,P,2026-05-14,AWY_SEG_ALT,144
AWY_OCC:A590:A:10,AWY_OCC:A590:A:20,60.74,242.79,208.48,18000,,,,,,60000,,N,N,N,ZAN,OP,US,P,2026-05-14,AWY_SEG_ALT,146
AWY_OCC:A590:A:20,AWY_OCC:A590:A:30,63.17,245.57,242.16,18000,,,,,,60000,,N,N,N,ZAN,OP,US,P,2026-05-14,AWY_SEG_ALT,147
AWY_OCC:A590:A:30,AWY_OCC:A590:A:40,51.37,232.64,132.93,18000,,,,,,60000,,N,N,N,ZAN,OP,US,P,2026-05-14,AWY_SEG_ALT,148
AWY_OCC:A590:A:40,AWY_OCC:A590:A:50,58.52,240.68,210.91,18000,,,,,,60000,,N,N,N,ZAN,OP,US,P,2026-05-14,AWY_SEG_ALT,149
AWY_OCC:A590:A:50,AWY_OCC:A590:A:60,60.54,242.71,202.45,18000,,,,,,60000,,N,N,N,ZAN,OP,US,P,2026-05-14,AWY_SEG_ALT,150
AWY_OCC:A590:A:60,AWY_OCC:A590:A:70,62.8,243.67,78.22,18000,,,,,,60000,,N,N,N,ZAN,OP,US,P,2026-05-14,AWY_SEG_ALT,151
AWY_OCC:A590:A:70,AWY_OCC:A590:A:80,63.04,244.21,101.3,18000,,,,,,60000,,N,N,N,ZAN,OP,US,P,2026-05-14,AWY_SEG_ALT,152
AWY_OCC:A590:A:80,AWY_OCC:A590:A:90,62.45,243.98,127.54,18000,,,,,,60000,,N,N,N,ZAN,OP,US,P,2026-05-14,AWY_SEG_ALT,153
AWY_OCC:A590:A:90,AWY_OCC:A590:A:100,63.64,244.06,34.36,18000,,,,,,60000,,N,N,N,ZAN,OP,US,P,2026-05-14,AWY_SEG_ALT,154
AWY_OCC:A590:A:100,AWY_OCC:A590:A:110,63.92,245.44,117.12,18000,,,,,,60000,,N,N,N,ZAN,OP,US,P,2026-05-14,AWY_SEG_ALT,155
AWY_OCC:A590:A:110,AWY_OCC:A590:A:120,62.39,245.8,238.72,18000,,,,,,60000,,N,N,N,ZAN,AK,US,PA,2026-05-14,AWY_SEG_ALT,156
AWY_OCC:A597:C:10,AWY_OCC:A597:C:20,322.55,144.5,425.21,18000,,,,,,,,N,N,N,ZAK,OP,US,P,2026-05-14,AWY_SEG_ALT,158
