fromKey,toKey,rawValue,normalizedValue,resolveMethod,resolveStatus,confidence,sourceCycle,sourceTable,sourceRowId
AWY_OCC:T353:C:100,POINT:FIX:FOXAM:K7,FOXAM,FOXAM,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7792
AWY_OCC:T353:C:110,POINT:FIX:COBOK:K7,COBOK,COBOK,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7793
AWY_OCC:T353:C:120,POINT:FIX:SUBER:K7,SUBER,SUBER,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7794
AWY_OCC:T353:C:130,POINT:FIX:STARY:K7,STARY,STARY,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7795
AWY_OCC:T354:C:10,POINT:FIX:BYZIN:K3,BYZIN,BYZIN,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7796
AWY_OCC:T354:C:20,POINT:FIX:STRAW:K3,STRAW,STRAW,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7797
AWY_OCC:T354:C:30,POINT:NAVAID:PKD:DME:US:MN:PARK_RAPIDS,PKD,PKD,navaid_id_type_country_state,resolved_navaid,high,2026-05-14,AWY_SEG_ALT,7798
AWY_OCC:T354:C:40,POINT:FIX:CUCAC:K3,CUCAC,CUCAC,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7799
AWY_OCC:T354:C:50,POINT:FIX:BRNRD:K3,BRNRD,BRNRD,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7800
AWY_OCC:T354:C:60,POINT:FIX:VETZZ:K3,VETZZ,VETZZ,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7801
AWY_OCC:T354:C:70,POINT:FIX:LINDR:K3,LINDR,LINDR,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7802
AWY_OCC:T354:C:80,POINT:FIX:WENIB:K3,WENIB,WENIB,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7803
AWY_OCC:T354:C:90,POINT:FIX:ZOVNA:K3,ZOVNA,ZOVNA,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7804
AWY_OCC:T354:C:100,POINT:FIX:SSKYY:K5,SSKYY,SSKYY,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7805
AWY_OCC:T354:C:110,POINT:FIX:ALEEN:K5,ALEEN,ALEEN,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7806
AWY_OCC:T354:C:120,POINT:FIX:TONOC:K5,TONOC,TONOC,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7807
AWY_OCC:T354:C:130,POINT:FIX:KOETZ:K5,KOETZ,KOETZ,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7808
AWY_OCC:T354:C:140,POINT:FIX:HRMNN:K5,HRMNN,HRMNN,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7809
AWY_OCC:T354:C:150,POINT:FIX:FOMAG:K5,FOMAG,FOMAG,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7810
AWY_OCC:T354:C:160,POINT:FIX:MAYSE:K5,MAYSE,MAYSE,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7811
AWY_OCC:T354:C:170,POINT:FIX:FIBRL:K5,FIBRL,FIBRL,unique_id_fallback,resolved_fix,medium,2026-05-14,AWY_SEG_ALT,7812
