edgeKey,fromNodeKey,toNodeKey,fromType,toType,directionType,sourceRouteCount,sourceRouteKeys
AIRPORT:BDL->FIX:VEERS,AIRPORT:BDL,FIX:VEERS,Airport,Fix,original,23,BDL:AFW:H:1|BDL:AGS:H:1|BDL:APF:H:1|BDL:ATL:H:2|BDL:CAE:H:1|BDL:CLT:H:1|BDL:DCA:H:3|BDL:DFW:H:2|BDL:DFW:H:3|BDL:DXR:TEC:2|BDL:EWR:L:2|BDL:IAD:H:1|BDL:IAH:H:1|BDL:IAH:H:2|BDL:ILN:H:1|BDL:LAS:H:1|BDL:MEM:H:1|BDL:MYR:H:2|BDL:RDU:H:1|BDL:RSW:H:1|BDL:STL:H:1|BDL:SWF:TEC:1|BDL:TPA:H:2
AIRPORT:BDL->NAVAID:ALB:VORTAC,AIRPORT:BDL,NAVAID:ALB:VORTAC,Airport,Navaid,original,3,BDL:BUF:TEC:1|BDL:ROC:TEC:1|BDL:SYR:TEC:1
AIRPORT:BDL->NAVAID:BAF:VORTAC,AIRPORT:BDL,NAVAID:BAF:VORTAC,Airport,Navaid,original,8,BDL:AUG:TEC:1|BDL:BGR:TEC:1|BDL:BHB:TEC:1|BDL:CON:TEC:1|BDL:MHT:TEC:1|BDL:PSM:TEC:1|BDL:PSM:TEC:2|BDL:PWM:TEC:1
AIRPORT:BDL->NAVAID:BOS:VOR/DME,AIRPORT:BDL,NAVAID:BOS:VOR/DME,Airport,Navaid,original,1,BDL:PNE:L:4
AIRPORT:BDL->NAVAID:CCC:VOR/DME,AIRPORT:BDL,NAVAID:CCC:VOR/DME,Airport,Navaid,original,26,BDL:BCT:H:1|BDL:BCT:H:3|BDL:BLM:H:1|BDL:BWI:H:1|BDL:CHS:H:1|BDL:DCA:H:2|BDL:FLL:H:10|BDL:FLL:H:11|BDL:FLL:H:5|BDL:JAX:H:1|BDL:MCO:H:5|BDL:MCO:H:6|BDL:MCO:H:7|BDL:MIA:H:1|BDL:MIA:H:3|BDL:MYR:H:1|BDL:ORF:H:1|BDL:ORL:H:1|BDL:ORL:H:2|BDL:PBI:H:1|BDL:PBI:H:3|BDL:PHL:H:1|BDL:RIC:H:1|BDL:SAV:H:1|BDL:VRB:H:1|BDL:VRB:H:2
AIRPORT:BDL->NAVAID:CTR:VOR/DME,AIRPORT:BDL,NAVAID:CTR:VOR/DME,Airport,Navaid,original,17,BDL:AGC:H:1|BDL:CAK:H:1|BDL:CLE:H:1|BDL:CVG:H:1|BDL:DEN:H:1|BDL:DET:H:1|BDL:DTW:H:1|BDL:DTW:H:2|BDL:ELM:TEC:1|BDL:ERI:L:2|BDL:ERI:TEC:1|BDL:MDW:H:1|BDL:MSP:H:1|BDL:ORD:H:2|BDL:PIT:H:1|BDL:RFD:H:1|BDL:YIP:H:2
AIRPORT:BDL->NAVAID:GON:VOR/DME,AIRPORT:BDL,NAVAID:GON:VOR/DME,Airport,Navaid,original,7,BDL:ACY:TEC:1|BDL:BWI:TEC:1|BDL:PHL:TEC:1|BDL:PNE:TEC:1|BDL:RIC:TEC:1|BDL:TTN:TEC:1|BDL:WRI:TEC:1
AIRPORT:BDL->NAVAID:HFD:VOR/DME,AIRPORT:BDL,NAVAID:HFD:VOR/DME,Airport,Navaid,original,15,BDL:BDR:TEC:1|BDL:DXR:TEC:1|BDL:EWR:TEC:1|BDL:EWR:TEC:2|BDL:FOK:TEC:1|BDL:FRG:TEC:1|BDL:GON:TEC:1|BDL:HPN:TEC:1|BDL:ILG:L:1|BDL:ILG:L:2|BDL:ISP:TEC:1|BDL:LGA:TEC:1|BDL:PHL:L:1|BDL:PNE:L:3|BDL:TTN:L:3
AIRPORT:BDL->NAVAID:MAD:VOR/DME,AIRPORT:BDL,NAVAID:MAD:VOR/DME,Airport,Navaid,original,10,BDL:ACY:TEC:2|BDL:BWI:TEC:2|BDL:DOV:TEC:1|BDL:DOV:TEC:2|BDL:JFK:TEC:1|BDL:PHL:TEC:2|BDL:PNE:TEC:2|BDL:RIC:TEC:2|BDL:TTN:TEC:2|BDL:WRI:TEC:2
AIRPORT:BDL->NAVAID:PUT:VOR/DME,AIRPORT:BDL,NAVAID:PUT:VOR/DME,Airport,Navaid,original,2,BDL:BOS:TEC:1|BDL:OWD:TEC:1
