airwayId,airwayLocation,sourcePointRowCount,cleanOccurrenceCount,sourceExpectedAdjacentEdgeCount,cleanNextEdgeCount,sourceTerminalPoint,cleanTerminalPoint,pointCountMatches,edgeCountMatches,terminalPointMatches,coverageStatus
J503,C,6,6,5,5,U.S. CANADIAN BORDER-2,U.S. CANADIAN BORDER-2,true,true,true,exact_point_and_edge_coverage
J505,C,6,6,5,5,U.S. CANADIAN BORDER-2,U.S. CANADIAN BORDER-2,true,true,true,gap_requires_policy
J507,A,9,9,8,8,YAK,YAK,true,true,true,gap_requires_policy
J511,A,9,9,8,8,GKN,GKN,true,true,true,exact_point_and_edge_coverage
J512,A,3,3,2,2,GAL,GAL,true,true,true,exact_point_and_edge_coverage
J515,C,8,8,7,7,BRW,BRW,true,true,true,gap_requires_policy
J516,C,3,3,2,2,U.S. CANADIAN BORDER-2,U.S. CANADIAN BORDER-2,true,true,true,exact_point_and_edge_coverage
J52,C,19,19,18,18,SQS,SQS,true,true,true,gap_requires_policy
J523,C,16,16,15,15,ANN,ANN,true,true,true,gap_requires_policy
J530,C,3,3,2,2,U.S. CANADIAN BORDER-2,U.S. CANADIAN BORDER-2,true,true,true,exact_point_and_edge_coverage
J536,A,3,3,2,2,U.S. CANADIAN BORDER-2,U.S. CANADIAN BORDER-2,true,true,true,gap_requires_policy
J537,C,4,4,3,3,U.S. CANADIAN BORDER-2,U.S. CANADIAN BORDER-2,true,true,true,gap_requires_policy
J538,C,3,3,2,2,BAE,BAE,true,true,true,exact_point_and_edge_coverage
J539,C,3,3,2,2,U.S. CANADIAN BORDER-2,U.S. CANADIAN BORDER-2,true,true,true,exact_point_and_edge_coverage
J54,C,11,11,10,10,LAR,LAR,true,true,true,gap_requires_policy
J540,C,3,3,2,2,U.S. CANADIAN BORDER-3,U.S. CANADIAN BORDER-3,true,true,true,exact_point_and_edge_coverage
J541,A,5,5,4,4,SSR,SSR,true,true,true,exact_point_and_edge_coverage
J547,C,6,6,5,5,FNT,FNT,true,true,true,exact_point_and_edge_coverage
J548,C,7,7,6,6,TVC,TVC,true,true,true,exact_point_and_edge_coverage
J549,C,3,3,2,2,U.S. CANADIAN BORDER-2,U.S. CANADIAN BORDER-2,true,true,true,exact_point_and_edge_coverage
J554,C,10,10,9,9,JHW,JHW,true,true,true,gap_requires_policy
J56,C,9,9,8,8,FQF,FQF,true,true,true,gap_requires_policy
J569,C,3,3,2,2,U.S. CANADIAN BORDER-2,U.S. CANADIAN BORDER-2,true,true,true,exact_point_and_edge_coverage
J57,C,3,3,2,2,ABQ,ABQ,true,true,true,exact_point_and_edge_coverage
J58,C,19,19,18,18,HRV,HRV,true,true,true,exact_point_and_edge_coverage
J584,C,13,13,12,12,BWZ,BWZ,true,true,true,exact_point_and_edge_coverage
J59,C,6,6,5,5,SYR,SYR,true,true,true,exact_point_and_edge_coverage
J599,C,4,4,3,3,U.S. CANADIAN BORDER-3,U.S. CANADIAN BORDER-3,true,true,true,exact_point_and_edge_coverage
J6,C,38,38,37,37,ALB,ALB,true,true,true,gap_requires_policy
J60,C,30,30,29,29,SAX,SAX,true,true,true,gap_requires_policy
J603,A,2,2,1,1,DLG,DLG,true,true,true,exact_point_and_edge_coverage
J604,A,2,2,1,1,RWO,RWO,true,true,true,exact_point_and_edge_coverage
J605,A,2,2,1,1,MDO,MDO,true,true,true,exact_point_and_edge_coverage
J61,C,5,5,4,4,PSB,PSB,true,true,true,exact_point_and_edge_coverage
J617,A,2,2,1,1,JOH,JOH,true,true,true,exact_point_and_edge_coverage
J618,A,4,4,3,3,ELF,ELF,true,true,true,exact_point_and_edge_coverage
J619,A,2,2,1,1,SPY,SPY,true,true,true,exact_point_and_edge_coverage
J623,A,4,4,3,3,SPY,SPY,true,true,true,exact_point_and_edge_coverage
J64,C,25,25,24,24,SARAA,SARAA,true,true,true,gap_requires_policy
J65,C,20,20,19,19,SEA,SEA,true,true,true,gap_requires_policy
J66,C,15,15,14,14,RMG,RMG,true,true,true,gap_requires_policy
J67,C,3,3,2,2,BTG,BTG,true,true,true,exact_point_and_edge_coverage
J68,C,6,6,5,5,FNT,FNT,true,true,true,exact_point_and_edge_coverage
J7,C,15,15,14,14,U.S. CANADIAN BORDER-2,U.S. CANADIAN BORDER-2,true,true,true,gap_requires_policy
J70,C,34,34,33,33,JFK,JFK,true,true,true,gap_requires_policy
J71,C,12,12,11,11,OBK,OBK,true,true,true,exact_point_and_edge_coverage
J713,C,4,4,3,3,TCH,TCH,true,true,true,exact_point_and_edge_coverage
J72,C,14,14,13,13,SPS,SPS,true,true,true,gap_requires_policy
J73,C,6,6,5,5,OBK,OBK,true,true,true,exact_point_and_edge_coverage
J74,C,14,14,13,13,IRW,IRW,true,true,true,exact_point_and_edge_coverage
J76,C,10,10,9,9,SPS,SPS,true,true,true,gap_requires_policy
J78,C,20,20,19,19,HVQ,HVQ,true,true,true,exact_point_and_edge_coverage
J8,C,20,20,19,19,CSN,CSN,true,true,true,gap_requires_policy
J80,C,28,28,27,27,AIR,AIR,true,true,true,exact_point_and_edge_coverage
J804R,A,6,6,5,5,FRIED,FRIED,true,true,true,exact_point_and_edge_coverage
J82,C,10,10,9,9,JOT,JOT,true,true,true,gap_requires_policy
J83,C,5,5,4,4,DJB,DJB,true,true,true,exact_point_and_edge_coverage
J84,C,14,14,13,13,OBK,OBK,true,true,true,gap_requires_policy
J85,C,10,10,9,9,DJB,DJB,true,true,true,exact_point_and_edge_coverage
J86,C,24,24,23,23,LEV,LEV,true,true,true,gap_requires_policy
J87,C,20,20,19,19,OBK,OBK,true,true,true,exact_point_and_edge_coverage
J88,C,7,7,6,6,PYE,PYE,true,true,true,exact_point_and_edge_coverage
J889R,A,4,4,3,3,LAIRE,LAIRE,true,true,true,exact_point_and_edge_coverage
J89,C,11,11,10,10,DLH,DLH,true,true,true,exact_point_and_edge_coverage
J9,C,15,15,14,14,GTF,GTF,true,true,true,exact_point_and_edge_coverage
J90,C,16,16,15,15,OBK,OBK,true,true,true,gap_requires_policy
J92,C,22,22,21,21,U.S. MEXICAN BORDER-2,U.S. MEXICAN BORDER-2,true,true,true,exact_point_and_edge_coverage
J93,C,6,6,5,5,LAX,LAX,true,true,true,exact_point_and_edge_coverage
J94,C,15,15,14,14,FNT,FNT,true,true,true,gap_requires_policy
J95,C,7,7,6,6,CFB,CFB,true,true,true,exact_point_and_edge_coverage
