airwayId,airwayLocation,pointSeq,currentPoint,nextPoint,gapFlagActive,signalGapFlagActive,meaGapActive,doglegActive,isTerminalPoint,hasCurrentCleanNextEdge,gapPositionClass,sourceRowNumber
J196,C,20,RIFMN,EKR,false,false,false,true,false,true,dogleg_turn_point,1485
J198,C,40,OFTEC,RIFMN,false,false,false,true,false,true,dogleg_turn_point,1493
J199,C,30,OFFIG,HELPR,false,false,false,true,false,true,dogleg_turn_point,1498
J2,C,70,MOHAK,JUDTH,false,false,false,true,false,true,dogleg_turn_point,1507
J2,C,110,TUS,OLIIN,false,true,false,false,false,true,signal_coverage_gap,1511
J20,C,90,OCS,FQF,false,true,false,false,false,true,signal_coverage_gap,1537
J20,C,130,LAA,IRW,true,false,true,false,false,true,multiple_flags,1541
J202,C,20,ODUCE,OCS,false,false,false,true,false,true,dogleg_turn_point,1555
J203,C,20,HILGR,GTF,false,false,false,true,false,true,dogleg_turn_point,1559
J204,C,30,HILGR,GTF,false,false,false,true,false,true,dogleg_turn_point,1563
J211,C,30,BUSTR,LEONI,false,false,false,true,false,true,dogleg_turn_point,1593
J212,C,50,CURIV,DECAS,false,false,false,true,false,true,dogleg_turn_point,1600
J231,C,30,HIPPI,DRK,false,false,false,true,false,true,dogleg_turn_point,1640
J231,C,50,NABOB,PAYSO,false,false,false,true,false,true,dogleg_turn_point,1642
J24,C,20,CHE,HGO,true,false,true,false,false,true,multiple_flags,1660
J244,C,30,CHEAR,PXR,false,false,false,true,false,true,dogleg_turn_point,1687
J25,C,10,MAM,U.S. MEXICAN BORDER-1,false,false,true,false,false,true,mea_unusable,1689
J25,C,60,ICEMN,SAT,false,false,false,true,false,true,dogleg_turn_point,1694
J26,C,40,SUMMY,CME,false,false,false,true,false,true,dogleg_turn_point,1713
J30,C,130,BUCKO,SHAAR,false,false,false,true,false,true,dogleg_turn_point,1775
J32,C,60,BAM,PARKA,false,true,false,false,false,true,signal_coverage_gap,1788
J33,C,60,DONIE,TANBE,false,false,false,true,false,true,dogleg_turn_point,1801
J34,C,40,MWH,ODESS,false,true,false,false,false,true,signal_coverage_gap,1807
J34,C,70,BIL,RECAP,false,true,false,false,false,true,signal_coverage_gap,1810
J34,C,230,DJB,GAABE,false,false,true,false,false,true,mea_unusable,1826
J34,C,240,GAABE,MAINE,false,false,true,false,false,true,mea_unusable,1827
J34,C,250,MAINE,SPOOL,false,false,true,false,false,true,mea_unusable,1828
J34,C,260,SPOOL,AIR,false,false,true,false,false,true,mea_unusable,1829
J34,C,280,BUCKO,SHAAR,false,false,false,true,false,true,dogleg_turn_point,1831
J36,C,30,HILGR,DIK,false,true,false,false,false,true,signal_coverage_gap,1849
J36,C,80,DUTYS,BAE,false,false,false,true,false,true,dogleg_turn_point,1854
J36,C,100,DABJU,FNT,false,false,false,true,false,true,dogleg_turn_point,1856
J4,C,50,PIONE,TNP,false,false,false,true,false,true,dogleg_turn_point,1862
J44,C,60,ALS,VIMPY,false,true,false,false,false,true,signal_coverage_gap,1916
J44,C,70,VIMPY,FQF,false,false,false,true,false,true,dogleg_turn_point,1917
J49,C,80,ALB,HOWES,false,true,false,false,false,true,signal_coverage_gap,1960
J5,C,20,LANDO,EHF,false,false,false,true,false,true,dogleg_turn_point,1967
J5,C,30,EHF,PINNI,false,true,false,false,false,true,signal_coverage_gap,1968
J5,C,180,U.S. CANADIAN BORDER-2,U.S. CANADIAN BORDER-3,false,false,true,false,false,true,mea_unusable,1983
J50,C,20,LANDO,BOILE,false,false,false,true,false,true,dogleg_turn_point,1989
J50,C,50,YCDIL,WBERG,false,false,false,true,false,true,dogleg_turn_point,1992
J50,C,90,KOFFA,GBN,false,false,false,true,false,true,dogleg_turn_point,1996
J50,C,150,ALIBY,ELP,false,false,false,true,false,true,dogleg_turn_point,2002
J50,C,170,LINZY,INK,false,false,true,true,false,true,mea_unusable,2004
J501,C,50,PYE,NIECE,false,true,false,false,false,true,signal_coverage_gap,2022
J501,C,70,OED,HQM,false,true,false,false,false,true,signal_coverage_gap,2024
J501,C,90,WAPTO,TOU,false,false,false,true,false,true,dogleg_turn_point,2026
J501,C,110,CYVIC,U.S. CANADIAN BORDER-2,true,false,false,false,false,true,airway_discontinuity,2028
J501,C,120,U.S. CANADIAN BORDER-2,U.S. CANADIAN BORDER-3,false,false,true,false,false,true,mea_unusable,2029
J501,C,140,EEVER,BKA,false,false,false,true,false,true,dogleg_turn_point,2031
